1;ACCESSIBILITY_CASE_PROTO_ID;REQUIREMENT_ID;SUBCONDITION_ID;REST_VARIABLE_ID;CONDITION_TYPE;REST_VALUE;ACCESSIBILITY_CASE_NAMES;ACCESSIBILITY_CASE_TITLE;BITS_QRS;REQUIREMENT_TEXT;EXPLANATION_WHY_NOT;EFFORT_TO_FIX;SHORTCOMING_FI;SHORTCOMING_SV;SHORTCOMING_EN
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [535] OUTDOOR_SPORT_FACILITY.WC.existing = true;1;36;110;535;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [536] OUTDOOR_SPORT_FACILITY.WC.type = flush_toilet_in_dressing_room;1;36;110;536;E;flush_toilet_in_dressing_room;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [537] OUTDOOR_SPORT_FACILITY.WC.marked_as_accessible_wc = true;1;36;110;537;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [594] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.existing = true;1;36;110;594;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [595] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.marked_as_accessible_wc = true;1;36;110;595;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [576] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.existing = true;1;36;110;576;E;true;;;;;Selkeää kulkureittiä esteettömäksi merkittyyn wc:hen ei ole.;BIG;Selkeää kulkureittiä esteettömäksi merkittyyn wc:hen ei ole.;Det finns ingen klar rutt till toaletten som har angetts som tillgänglig.;There is no clear route to the toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [577] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.surface = smooth;1;36;110;577;E;smooth;;;;;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tasainen.;SMALL;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tasainen.;Rutten till toaletten som har angetts som tillgänglig är inte jämn.;The route to the toilet marked as accessible is not even.
    AND;;;;;;;;;;;;;;;
    [578] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.width = sufficiently_wide;1;36;110;578;E;sufficiently_wide;;;;;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tarpeeksi leveä.;BIG;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tarpeeksi leveä.;Rutten till toaletten som har angetts som tillgänglig är inte tillräckligt bred.;The route to the toilet marked as accessible is not sufficiently wide.
    AND;;;;;;;;;;;;;;;
    [589] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.OUTSIDE_DOOR.sufficiently_room_for_wheelchair_in_front = true;1;36;110;589;E;true;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin edessä on liian vähän tilaa pyörätuolille.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin edessä on liian vähän tilaa pyörätuolille.;Det finns för lite utrymme för en rullstol framför byggnaden, som innehåller toaletten som har angetts som tillgänglig.;There is too little room for a wheelchair in front of the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [590] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.OUTSIDE_DOOR.door_opening_method <> is_heavy;1;36;110;590;I;is_heavy;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin ovi on raskas.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin ovi on raskas.;Dörren vid ingången är tung i byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance door is heavy in the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [591] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.OUTSIDE_DOOR.threshold_height <> over_20mm;1;36;110;591;I;over_20mm;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on yli 2 cm korkea kynnys.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on yli 2 cm korkea kynnys.;Vid ingången finns en över 2 cm hög tröskel i byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance has a threshold over 2 cm high in the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [601] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.sufficiently_room_for_wheelchair = true;1;36;110;601;E;true;;;;;Esteettömäksi merkityssä wc:ssä ei ole tarpeeksi tilaa pyörätuolille.;BIG;Esteettömäksi merkityssä wc:ssä ei ole tarpeeksi tilaa pyörätuolille.;Toaletten som har angetts som tillgänglig är inte tillräckligt rymlig för en rullstol.;The toilet marked as accessible does not have sufficient room for a wheelchair.
    AND;;;;;;;;;;;;;;;
    [599] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.DOOR.width_at_least_850mm = true;1;36;110;599;E;true;;;;;Esteettömäksi merkityssä wc:ssä on liian kapea ovi.;BIG;Esteettömäksi merkityssä wc:ssä on liian kapea ovi.;Dörren till toaletten som har angetts som tillgänglig är för smal.;The door of the toilet marked as accessible is too narrow.
    AND;;;;;;;;;;;;;;;
    [600] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.DOOR.easy_to_open_and_close = true;1;36;110;600;E;true;;;;;Esteettömäksi merkityn wc:n ovea ei ole helppo sulkea.;BIG;Esteettömäksi merkityn wc:n ovea ei ole helppo sulkea.;Dörren till toaletten som har angetts som tillgänglig är svår att stänga.;The door of the toilet marked as accessible cannot be easily closed.
    AND;;;;;;;;;;;;;;;
    [602] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.handrails_both_sides_of_seat = true;1;36;110;602;E;true;;;;;Esteettömäksi merkityssä wc:ssä ei ole käsitukia wc-istuimen toisella tai kummallakaan puolilla.;BIG;Esteettömäksi merkityssä wc:ssä ei ole käsitukia wc-istuimen toisella tai kummallakaan puolilla.;Toaletten som har angetts som tillgänglig har varken ensidigt eller dubbelsidigt armstöd på toalettstolen.;The toilet marked as accessible does not have arm supports on one or both sides of the toilet seat.
    AND;;;;;;;;;;;;;;;
    [614] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.WALL_HANDRAILS.existing = true;1;36;110;614;E;true;;;;;Esteettömäksi merkityn wc:n seinässä ei ole tukikaidetta.;BIG;Esteettömäksi merkityn wc:n seinässä ei ole tukikaidetta.;Toaletten som har angetts som tillgänglig har inget räck på väggen.;The toilet marked as accessible does not have handrails on the wall.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;37;111;60;I;outdoor_sport_facility;;;QRS:Q:Q;Jos ulkoliikuntapaikassa on esteettömäksi merkitty wc, niin kulkureitillä ei saa olla yhtään porrasta mutta jos on, portaat pitää voida ohittaa loivaa luiskaa myöten, jossa on vähintään toisella puolella käsijohde.;Ainakin yksi porras on, mutta ei luiskaa.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, mutta ei luiskaa.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg, men ingen ramp.;The route to the toilet marked as accessible has at least one step but no ramp.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> beach;1;37;112;61;I;beach;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> general_outdoor_sports_area;1;37;112;61;I;general_outdoor_sports_area;;;;;;;;;
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [535] OUTDOOR_SPORT_FACILITY.WC.existing = false;1;37;113;535;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [536] OUTDOOR_SPORT_FACILITY.WC.type = flush_toilet_in_dressing_room;1;37;114;536;E;flush_toilet_in_dressing_room;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [537] OUTDOOR_SPORT_FACILITY.WC.marked_as_accessible_wc = false;1;37;115;537;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [545] OUTDOOR_SPORT_FACILITY.WC.ROUTE.STEPS.existing = false;1;37;116;545;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [551] OUTDOOR_SPORT_FACILITY.WC.ROUTE.RAMP.existing = true;1;37;117;551;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [553] OUTDOOR_SPORT_FACILITY.WC.ROUTE.RAMP.steep = false;1;37;117;553;E;false;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiska on jyrkkä.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, ja lisäksi luiska, mutta luiska on jyrkkä.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg och dessutom en ramp, men rampen är brant.;"The route to the toilet marked as accessible has at least one step; a ramp is provided but the incline is steep."
    AND;;;;;;;;;;;;;;;
    [554] OUTDOOR_SPORT_FACILITY.WC.ROUTE.RAMP.handrails <> no_handrails;1;37;117;554;I;no_handrails;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg och dessutom en ramp, men rampen är inte försedd med räcke.;"The route to the toilet marked as accessible has at least one step; a ramp is available but with no handrail."
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;38;118;60;I;outdoor_sport_facility;;;QRS:Q:Q;Jos ulkoliikuntapaikassa on esteettömäksi merkitty wc, niin kulkureitillä ei saa olla yhtään porrasta mutta jos on, portaat pitää voida ohittaa loivaa luiskaa myöten, jossa on vähintään toisella puolella käsijohde.;Ainakin yksi porras on, mutta ei luiskaa.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, mutta ei luiskaa.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg, men ingen ramp.;The route to the toilet marked as accessible has at least one step but no ramp.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> beach;1;38;119;61;I;beach;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> general_outdoor_sports_area;1;38;119;61;I;general_outdoor_sports_area;;;;;;;;;
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [535] OUTDOOR_SPORT_FACILITY.WC.existing = false;1;38;120;535;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [536] OUTDOOR_SPORT_FACILITY.WC.type <> flush_toilet_in_dressing_room;1;38;121;536;I;flush_toilet_in_dressing_room;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [537] OUTDOOR_SPORT_FACILITY.WC.marked_as_accessible_wc = false;1;38;122;537;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [594] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.existing = false;1;38;123;594;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [595] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.marked_as_accessible_wc = false;1;38;124;595;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [579] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.STEPS.existing = false;1;38;125;579;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [585] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.RAMP.existing = true;1;38;126;585;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [587] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.RAMP.steep = false;1;38;126;587;E;false;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiska on jyrkkä.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, ja lisäksi luiska, mutta luiska on jyrkkä.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg och dessutom en ramp, men rampen är brant.;"The route to the toilet marked as accessible has at least one step; a ramp is provided but the incline is steep."
    AND;;;;;;;;;;;;;;;
    [588] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.ROUTE.RAMP.handrails <> no_handrails;1;38;126;588;I;no_handrails;;;;;Ainakin yksi porras on, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;BIG;Kulkureitillä ulkoliikuntapaikan esteettömäksi merkittyyn wc:hen on porrasaskelmia, ja lisäksi luiska, mutta luiskassa ei ole käsijohdetta.;På rutten till toaletten som har angetts som tillgänglig finns minst ett trappsteg och dessutom en ramp, men rampen är inte försedd med räcke.;"The route to the toilet marked as accessible has at least one step; a ramp is available but with no handrail."
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;39;127;60;I;outdoor_sport_facility;;;QRS:Q:Q;Jos ulkoliikuntapaikassa on esteettömäksi merkitty wc, niin sen sisäänkäynnissä ei saa olla ahdasta tuulikaappia.;Sisäänkäynnissä on ahdas tuulikaappi.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on ahdas tuulikaappi.;Det finns ett trångt vindfång vid ingången till byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance has a cramped foyer in the building that has a toilet marked as accessible.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> beach;1;39;128;61;I;beach;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> general_outdoor_sports_area;1;39;128;61;I;general_outdoor_sports_area;;;;;;;;;
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [535] OUTDOOR_SPORT_FACILITY.WC.existing = false;1;39;129;535;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [536] OUTDOOR_SPORT_FACILITY.WC.type = flush_toilet_in_dressing_room;1;39;130;536;E;flush_toilet_in_dressing_room;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [537] OUTDOOR_SPORT_FACILITY.WC.marked_as_accessible_wc = false;1;39;131;537;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [558] OUTDOOR_SPORT_FACILITY.WC.FOYER.existing = false;1;39;132;558;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [559] OUTDOOR_SPORT_FACILITY.WC.FOYER.sufficiently_room_for_wheelchair = true;1;39;133;559;E;true;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> outdoor_sport_facility;1;40;134;60;I;outdoor_sport_facility;;;QRS:Q:Q;Jos ulkoliikuntapaikassa on esteettömäksi merkitty wc, niin sen sisäänkäynnissä ei saa olla ahdasta tuulikaappia.;Sisäänkäynnissä on ahdas tuulikaappi.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on ahdas tuulikaappi.;Det finns ett trångt vindfång vid ingången till byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance has a cramped foyer in the building that has a toilet marked as accessible.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> beach;1;40;135;61;I;beach;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [61] SERVICE_POINT.detailed_type <> general_outdoor_sports_area;1;40;135;61;I;general_outdoor_sports_area;;;;;;;;;
  );;;;;;;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [535] OUTDOOR_SPORT_FACILITY.WC.existing = false;1;40;136;535;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [536] OUTDOOR_SPORT_FACILITY.WC.type <> flush_toilet_in_dressing_room;1;40;137;536;I;flush_toilet_in_dressing_room;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [537] OUTDOOR_SPORT_FACILITY.WC.marked_as_accessible_wc = false;1;40;138;537;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [594] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.existing = false;1;40;139;594;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [595] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.WC.marked_as_accessible_wc = false;1;40;140;595;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [592] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.FOYER.existing = false;1;40;141;592;E;false;;;;;;;;;
  OR;;;;;;;;;;;;;;;
  [593] OUTDOOR_SPORT_FACILITY.DRESSING_ROOM.FOYER.sufficiently_room_for_wheelchair = true;1;40;142;593;E;true;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
  [60] SERVICE_POINT.type <> nature_facility;1;41;143;60;I;nature_facility;;;QRS:Q:Q;Luontoalueen lähellä (etäisyys enintään 50 m) pitää olla esteetön wc, jonka vähintään 85 cm leveä ovi on helppo sulkea, ja jossa on tarpeeksi tilaa pyörätuolille, tukikaide seinässä sekä käsituet wc-istuimen molemmilla puolilla. Kulkureitti wc-rakennukseen pitää olla tasainen ja riittävän leveä. Rakennuksen sisäänkäynnin edessä pitää olla tarpeeksi tilaa pyörätuolille, sisäänkäyntiovi ei saa olla raskas eikä ovessa saa olla yli 2 cm korkeaa kynnystä.;Luontoalueella ei ole esteetöntä wc:tä.;BIG;Luontoalueella ei ole esteetöntä wc:tä.;Det finns ingen tillgänglig toalett i naturområdet.;There is no accessible toilet in the nature area.
  OR;;;;;;;;;;;;;;;
  (;;;;;;;;;;;;;;;
    [675] NATURE_SITE.WC.existing = true;1;41;144;675;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [677] NATURE_SITE.WC.marked_as_accessible_wc = true;1;41;144;677;E;true;;;;;;;;;
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_60m;1;41;144;681;I;about_60m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_70m;1;41;144;681;I;about_70m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_80m;1;41;144;681;I;about_80m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_90m;1;41;144;681;I;about_90m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_100m;1;41;144;681;I;about_100m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_120m;1;41;144;681;I;about_120m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_150m;1;41;144;681;I;about_150m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_200m;1;41;144;681;I;about_200m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_300m;1;41;144;681;I;about_300m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_400m;1;41;144;681;I;about_400m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> about_500m;1;41;144;681;I;about_500m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [681] NATURE_SITE.WC.ROUTE.length <> more_than_500m;1;41;144;681;I;more_than_500m;;;;;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;BIG;Esteettömäksi merkitty wc on yli 50 metrin etäisyydellä.;En toalett markerad som tillgänglig ligger över 50 meter bort.;A toilet marked as accessible is more than 50 meters away.
    AND;;;;;;;;;;;;;;;
    [683] NATURE_SITE.WC.ROUTE.surface = smooth;1;41;144;683;E;smooth;;;;;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tasainen.;SMALL;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tasainen.;Rutten till toaletten som har angetts som tillgänglig är inte jämn.;The route to the toilet marked as accessible is not even.
    AND;;;;;;;;;;;;;;;
    [684] NATURE_SITE.WC.ROUTE.width = sufficiently_wide;1;41;144;684;E;sufficiently_wide;;;;;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tarpeeksi leveä.;BIG;Kulkureitti esteettömäksi merkittyyn wc:hen ei ole tarpeeksi leveä.;Rutten till toaletten som har angetts som tillgänglig är inte tillräckligt bred.;The route to the toilet marked as accessible is not sufficiently wide.
    AND;;;;;;;;;;;;;;;
    [695] NATURE_SITE.WC.OUTSIDE_DOOR.sufficiently_room_for_wheelchair_in_front = true;1;41;144;695;E;true;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin edessä on liian vähän tilaa pyörätuolille.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin edessä on liian vähän tilaa pyörätuolille.;Det finns för lite utrymme för en rullstol framför byggnaden, som innehåller toaletten som har angetts som tillgänglig.;There is too little room for a wheelchair in front of the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [696] NATURE_SITE.WC.OUTSIDE_DOOR.door_opening_method <> is_heavy;1;41;144;696;I;is_heavy;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin ovi on raskas.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnin ovi on raskas.;Dörren vid ingången är tung i byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance door is heavy in the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [697] NATURE_SITE.WC.OUTSIDE_DOOR.threshold_height <> over_20mm;1;41;144;697;I;over_20mm;;;;;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on yli 2 cm korkea kynnys.;BIG;Esteettömäksi merkitty wc sijaitsee rakennuksessa, jonka sisäänkäynnissä on yli 2 cm korkea kynnys.;Vid ingången finns en över 2 cm hög tröskel i byggnaden, som innehåller toaletten som har angetts som tillgänglig.;The entrance has a threshold over 2 cm high in the building that has a toilet marked as accessible.
    AND;;;;;;;;;;;;;;;
    [705] NATURE_SITE.WC.sufficiently_room_for_wheelchair = true;1;41;144;705;E;true;;;;;Esteettömäksi merkityssä wc:ssä ei ole tarpeeksi tilaa pyörätuolille.;BIG;Esteettömäksi merkityssä wc:ssä ei ole tarpeeksi tilaa pyörätuolille.;Toaletten som har angetts som tillgänglig är inte tillräckligt rymlig för en rullstol.;The toilet marked as accessible does not have sufficient room for a wheelchair.
    AND;;;;;;;;;;;;;;;
    [703] NATURE_SITE.WC.INSIDE_DOOR.width_at_least_850mm = true;1;41;144;703;E;true;;;;;Esteettömäksi merkityssä wc:ssä on liian kapea ovi.;BIG;Esteettömäksi merkityssä wc:ssä on liian kapea ovi.;Dörren till toaletten som har angetts som tillgänglig är för smal.;The door of the toilet marked as accessible is too narrow.
    AND;;;;;;;;;;;;;;;
    [704] NATURE_SITE.WC.INSIDE_DOOR.easy_to_close = true;1;41;144;704;E;true;;;;;Esteettömäksi merkityn wc:n ovea ei ole helppo sulkea.;BIG;Esteettömäksi merkityn wc:n ovea ei ole helppo sulkea.;Dörren till toaletten som har angetts som tillgänglig är svår att stänga.;The door of the toilet marked as accessible cannot be easily closed.
    AND;;;;;;;;;;;;;;;
    [706] NATURE_SITE.WC.handrails_both_sides_of_seat = true;1;41;144;706;E;true;;;;;Esteettömäksi merkityssä wc:ssä ei ole käsitukia wc-istuimen toisella tai kummallakaan puolilla.;BIG;Esteettömäksi merkityssä wc:ssä ei ole käsitukia wc-istuimen toisella tai kummallakaan puolilla.;Toaletten som har angetts som tillgänglig har varken ensidigt eller dubbelsidigt armstöd på toalettstolen.;The toilet marked as accessible does not have arm supports on one or both sides of the toilet seat.
    AND;;;;;;;;;;;;;;;
    [707] NATURE_SITE.WC.WALL_HANDRAILS.existing = true;1;41;144;707;E;true;;;;;Esteettömäksi merkityn wc:n seinässä ei ole tukikaidetta.;BIG;Esteettömäksi merkityn wc:n seinässä ei ole tukikaidetta.;Toaletten som har angetts som tillgänglig har inget räck på väggen.;The toilet marked as accessible does not have handrails on the wall.
  );;;;;;;;;;;;;;;
);;;;;;;;;;;;;;;
AND;;;;;;;;;;;;;;;
(;;;;;;;;;;;;;;;
